Time	"Time Code"	"Country Name"	"Country Code"	"Annual freshwater withdrawals, total (billion cubic meters) [ER.H2O.FWTL.K3]"	"Children out of school, primary [SE.PRM.UNER]"	"CO2 emissions (kt) [EN.ATM.CO2E.KT]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]"	"Population, total [SP.POP.TOTL]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"Urban population [SP.URB.TOTL]"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%) [SG.VAW.REFU.ZS]"
2013	"YR2013"	"Afghanistan"	"AFG"	""	""	"10014.577"	""	""	"62.494"	"50.968831121497"	"31731688"	"75.627"	"652860"	""	"7733964"	""
2013	"YR2013"	"Albania"	"ALB"	""	"10957"	"5064.127"	"0"	"0"	"77.702"	"15.6359167040846"	"2895092"	"44.613"	"28750"	""	"1603505"	""
2013	"YR2013"	"Algeria"	"DZA"	""	""	"134465.223"	"99.4489898146602"	"0"	"75.418"	"31.0098541909824"	"38338562"	"30.424"	"2381740"	""	"26674438"	""
2013	"YR2013"	"American Samoa"	"ASM"	""	""	""	""	""	""	"3.4578848068701"	"55307"	"12.652"	"200"	""	"48310"	""
2013	"YR2013"	"Andorra"	"AND"	""	""	"476.71"	""	""	""	"10.9426841670833"	"80788"	"11.463"	"470"	""	"71527"	""
2013	"YR2013"	"Angola"	"AGO"	""	""	"32617.965"	"41.9790652385589"	"0"	"60.373"	"33.507051079736"	"25998340"	"37.998"	"1246700"	""	"16119491"	""
2013	"YR2013"	"Antigua and Barbuda"	"ATG"	""	""	"524.381"	""	""	"75.892"	"14.0147650993294"	"97824"	"74.65"	"440"	""	"24798"	""
2013	"YR2013"	"Argentina"	"ARG"	""	"27937"	"189851.591"	"64.0004023826803"	"2.11535972619681"	"76.089"	"13.5772090922804"	"42539925"	"8.751"	"2780400"	""	"38817256"	""
2013	"YR2013"	"Armenia"	"ARM"	""	""	"5496.833"	"41.1543450064851"	"0.0518806744487678"	"74.044"	"24.6651848658997"	"2893509"	"36.836"	"29740"	""	"1827656"	""
2013	"YR2013"	"Aruba"	"ABW"	""	""	"861.745"	""	""	"75.44"	""	"103187"	"57.01"	"180"	""	"44360"	""
2013	"YR2013"	"Australia"	"AUS"	""	"50066"	"372266.506"	"86.7358916116833"	"5.98467276391009"	"82.1487804878049"	"6.02823790925321"	"23145901"	"14.498"	"7741220"	""	"19790208"	""
2013	"YR2013"	"Austria"	"AUT"	""	""	"62485.68"	"20.8385646748818"	"12.8923315259489"	"81.1365853658537"	"15.9436221168834"	"8479823"	"42.664"	"83879"	""	"4861991"	""
2013	"YR2013"	"Azerbaijan"	"AZE"	""	"31378"	"35643.24"	"93.0418771944849"	"0.295452599126488"	"71.656"	"26.5519092952348"	"9416801"	"45.855"	"86600"	""	"5098727"	""
2013	"YR2013"	"Bahamas, The"	"BHS"	""	""	"2801.588"	""	""	"75.23"	"13.7432704642609"	"377240"	"17.404"	"13880"	""	"311585"	""
2013	"YR2013"	"Bahrain"	"BHR"	""	"6394"	"31312.513"	"100"	"0"	"76.482"	"66.6204638090894"	"1315411"	"11.165"	"770"	""	"1168545"	""
2013	"YR2013"	"Bangladesh"	"BGD"	""	""	"69709.67"	"98.0534638554217"	"0.26355421686747"	"71.431"	"88.5264261158675"	"157571292"	"67.238"	"148460"	""	"51623507"	""
2013	"YR2013"	"Barbados"	"BRB"	""	""	"1448.465"	""	""	"75.448"	"15.0599401801941"	"282509"	"68.571"	"430"	""	"88790"	""
2013	"YR2013"	"Belarus"	"BLR"	"1.514"	"24701"	"63769.13"	"99.0541784365379"	"0.406258926587742"	"72.4707317073171"	"19.5154632082884"	"9465997"	"23.801"	"207600"	""	"7212995"	""
2013	"YR2013"	"Belgium"	"BEL"	""	"14473"	"96970.148"	"31.9263107942032"	"13.7468964510004"	"80.5878048780488"	"15.9014393398755"	"11182817"	"2.211"	"30530"	""	"10935565"	""
2013	"YR2013"	"Belize"	"BLZ"	""	"522"	"513.38"	""	""	"69.895"	"24.4247433877674"	"344181"	"54.718"	"22970"	""	"155852"	""
2013	"YR2013"	"Benin"	"BEN"	""	""	"5812.195"	"99.4219653179191"	"0"	"60.113"	"41.3254736572136"	"10004451"	"55.358"	"114760"	""	"4466187"	""
2013	"YR2013"	"Bermuda"	"BMU"	""	""	"458.375"	""	""	"80.5724390243902"	"9.10364123557746"	"65001"	"0"	"50"	""	"65001"	""
2013	"YR2013"	"Bhutan"	"BTN"	""	"12840"	"920.417"	""	""	"69.038"	"54.4802760062516"	"764961"	"62.851"	"38394"	""	"284175"	""
2013	"YR2013"	"Bolivia"	"BOL"	""	"145344"	"18918.053"	"67.8239305641661"	"0.743955362678239"	"67.922"	"27.7941539826092"	"10400264"	"32.301"	"1098580"	""	"7040875"	""
2013	"YR2013"	"Bosnia and Herzegovina"	"BIH"	"0.3279"	""	"21921.326"	"58.5353274883961"	"0"	"76.39"	"41.6115655250503"	"3604999"	"53.481"	"51210"	""	"1677009"	""
2013	"YR2013"	"Botswana"	"BWA"	""	"19812"	"5229.142"	"99.9475616151023"	"0.108342361863489"	"63.63"	"18.5178515547407"	"2128507"	"34.428"	"581730"	""	"1395705"	""
2013	"YR2013"	"Brazil"	"BRA"	""	"949869"	"503677.118"	"20.5463956518085"	"8.22576239371314"	"74.777"	"11.4392673119095"	"202408632"	"14.791"	"8515770"	""	"172470371"	""
2013	"YR2013"	"British Virgin Islands"	"VGB"	""	""	"176.016"	""	""	""	""	"29056"	"54.144"	"150"	""	"13324"	""
2013	"YR2013"	"Brunei Darussalam"	"BRN"	""	"1031"	"7803.376"	"99.9545661063153"	"0.0454338936846888"	"76.823"	"6.17690989783986"	"405716"	"24.003"	"5770"	""	"308332"	""
2013	"YR2013"	"Bulgaria"	"BGR"	""	"9255"	"39599.933"	"50.9809840024147"	"6.60567925886368"	"74.8609756097561"	"26.7178767027617"	"7265115"	"26.687"	"111000"	""	"5326274"	""
2013	"YR2013"	"Burkina Faso"	"BFA"	""	"950308"	"3058.278"	""	""	"58.942"	"49.5877300403269"	"17072723"	"73.654"	"274220"	""	"4497980"	""
2013	"YR2013"	"Burundi"	"BDI"	""	""	"289.693"	""	""	"56.259"	"48.1393330191162"	"9600186"	"88.518"	"27830"	""	"1102293"	""
2013	"YR2013"	"Cabo Verde"	"CPV"	""	"8906"	"498.712"	""	""	"72.259"	"43.8749412719012"	"520106"	"36.683"	"4030"	""	"329316"	""
2013	"YR2013"	"Cambodia"	"KHM"	""	""	"5603.176"	"42.0697412823397"	"0.78740157480315"	"67.868"	"27.3135231888224"	"15022692"	"78.585"	"181040"	""	"3217109"	""
2013	"YR2013"	"Cameroon"	"CMR"	""	""	"6772.949"	"30.3805668016194"	"1.23411978221416"	"56.665"	"73.8489564726076"	"21655715"	"46.627"	"475440"	""	"11558305"	""
2013	"YR2013"	"Canada"	"CAN"	""	"12074"	"517160.677"	"20.9174128630329"	"4.40995422738991"	"81.7720487804878"	"7.27383121226769"	"35152370"	"18.822"	"9984670"	""	"28535991"	""
2013	"YR2013"	"Cayman Islands"	"CYM"	""	""	"535.382"	""	""	""	""	"58371"	"0"	"264"	""	"58371"	""
2013	"YR2013"	"Central African Republic"	"CAF"	""	""	"297.027"	""	""	"49.825"	"49.6305820212079"	"4499653"	"60.337"	"622980"	""	"1784697"	""
2013	"YR2013"	"Chad"	"TCD"	""	"485829"	"700.397"	""	""	"51.778"	"53.1944873358928"	"13133589"	"77.752"	"1284000"	""	"2921961"	""
2013	"YR2013"	"Channel Islands"	"CHI"	""	""	""	""	""	"80.654"	""	"162180"	"68.973"	"190"	""	"50320"	""
2013	"YR2013"	"Chile"	"CHL"	""	"140140"	"83226.232"	"64.1086703620064"	"8.65393827413947"	"78.931"	"21.1602850814946"	"17462982"	"12.754"	"756096"	""	"15235753"	""
2013	"YR2013"	"China"	"CHN"	""	""	"10258007.128"	"77.4244665797368"	"3.5648783506209"	"75.769"	"56.8075599704329"	"1357380000"	"46.987"	"9562911"	""	"719587859"	""
2013	"YR2013"	"Colombia"	"COL"	""	"279437"	"89625.147"	"26.0009502008379"	"3.03204814420225"	"73.847"	"18.3582122212754"	"47342981"	"20.939"	"1141749"	""	"37429834"	""
2013	"YR2013"	"Comoros"	"COM"	""	"14918"	"176.016"	""	""	"62.923"	"17.4815775234227"	"741500"	"71.777"	"1861"	""	"209274"	""
2013	"YR2013"	"Congo, Dem. Rep."	"COD"	""	""	"3589.993"	"0.109223300970874"	"0.217970452894163"	"58.347"	"46.8534451127514"	"71316033"	"58.373"	"2344860"	""	"29686725"	""
2013	"YR2013"	"Congo, Rep."	"COG"	""	""	"3087.614"	"43.1831480397894"	"0"	"62.89"	"51.9290624993398"	"4751393"	"35.373"	"342000"	""	"3070683"	""
2013	"YR2013"	"Costa Rica"	"CRI"	"2.347"	"6558"	"7598.024"	"11.685393258427"	"21.3776257938447"	"79.254"	"18.5586760111217"	"4706401"	"25.03"	"51100"	""	"3528389"	""
2013	"YR2013"	"Cote d'Ivoire"	"CIV"	""	"1084851"	"10685.638"	"78.1176470588235"	"0.888888888888889"	"51.989"	"28.9331865842066"	"21966312"	"51.407"	"322460"	""	"10674090"	""
2013	"YR2013"	"Croatia"	"HRV"	"0.6338"	"2840"	"17550.262"	"33.4982433498243"	"4.68201046820105"	"77.1268292682927"	"18.6739375425936"	"4255689"	"44.294"	"56590"	""	"2370674"	""
2013	"YR2013"	"Cuba"	"CUB"	"6.959"	"3304"	"34799.83"	"95.6478578892372"	"3.68861024033438"	"79.282"	"18.2951735608857"	"11412167"	"23.173"	"109880"	""	"8767626"	""
2013	"YR2013"	"Curacao"	"CUW"	""	""	"5214.474"	"96.4601769911504"	""	""	""	"153822"	"10.456"	"444"	""	"137738"	""
2013	"YR2013"	"Cyprus"	"CYP"	"0.2218"	"1358"	"5947.874"	"92.3776223776224"	"7.62237762237762"	"79.995"	"16.2878775448036"	"1143896"	"32.863"	"9250"	""	"767977"	""
2013	"YR2013"	"Czech Republic"	"CZE"	"1.65"	""	"98675.303"	"53.4401114206128"	"7.64463770812018"	"78.1756097560976"	"19.8028928496278"	"10514272"	"26.71"	"78870"	""	"7705910"	""
2013	"YR2013"	"Denmark"	"DNK"	""	"6239"	"38532.836"	"51.9591484464902"	"45.9229197248367"	"80.3"	"10.3438832267873"	"5614932"	"12.708"	"42916"	""	"4901386"	""
2013	"YR2013"	"Djibouti"	"DJI"	""	"45540"	"608.722"	""	""	"61.691"	"51.2265068561098"	"896688"	"22.778"	"23200"	""	"692440"	""
2013	"YR2013"	"Dominica"	"DMA"	""	""	"132.012"	""	""	""	"14.111242352898"	"72400"	"31.018"	"750"	""	"49943"	""
2013	"YR2013"	"Dominican Republic"	"DOM"	""	"149188"	"21440.949"	"85.7239819004525"	"3.84468976018272"	"73.292"	"24.1462926467833"	"10281296"	"23.251"	"48670"	""	"7890792"	"0.4"
2013	"YR2013"	"Ecuador"	"ECU"	""	"64921"	"40997.06"	"51.0081251880831"	"1.53475774902197"	"75.661"	"15.9824776949299"	"15661547"	"36.875"	"256370"	""	"9886352"	""
2013	"YR2013"	"Egypt, Arab Rep."	"EGY"	""	""	"213412.066"	"91.3900624814043"	"0.936626004165427"	"70.933"	"95.0964039018574"	"89807433"	"57.107"	"1001450"	""	"38521102"	""
2013	"YR2013"	"El Salvador"	"SLV"	""	"58750"	"6230.233"	"39.5567602040816"	"31.9036989795918"	"72.753"	"36.6009257503324"	"6250777"	"31.964"	"21040"	""	"4252779"	""
2013	"YR2013"	"Equatorial Guinea"	"GNQ"	""	""	"5163.136"	""	""	"56.905"	"45.7151983178055"	"1083746"	"30.456"	"28050"	""	"753680"	""
2013	"YR2013"	"Eritrea"	"ERI"	""	"350503"	"667.394"	"99.4490358126722"	"0.540540540540541"	"63.703"	"43.8933902153525"	""	""	"117600"	""	""	""
2013	"YR2013"	"Estonia"	"EST"	""	"1296"	"19893.475"	"90.3578154425612"	"8.99435028248588"	"77.1414634146341"	"8.18758100274987"	"1317997"	"31.878"	"45230"	""	"897846"	""
2013	"YR2013"	"Eswatini"	"SWZ"	""	"51754"	"1089.099"	""	""	"55.296"	"21.334288430712"	"1271456"	"77.001"	"17360"	""	"292422"	""
2013	"YR2013"	"Ethiopia"	"ETH"	""	""	"10634.3"	"0.0917536414726459"	"4.09101356010113"	"63.952"	"36.6084715633654"	"94887724"	"81.425"	"1104300"	""	"17625395"	""
2013	"YR2013"	"Faroe Islands"	"FRO"	""	""	"678.395"	""	""	"81.4390243902439"	""	"48747"	"58.637"	"1396"	""	"20163"	""
2013	"YR2013"	"Fiji"	"FJI"	""	"2863"	"1151.438"	""	""	"69.796"	"7.55822237941187"	"879715"	"46.294"	"18270"	""	"472460"	""
2013	"YR2013"	"Finland"	"FIN"	""	"3058"	"47219.959"	"30.0223135972606"	"17.9505171421755"	"80.9756097560976"	"6.90311032398958"	"5438972"	"14.875"	"338420"	""	"4629925"	""
2013	"YR2013"	"France"	"FRA"	""	"31408"	"334096.703"	"7.76769042787094"	"4.57658318463611"	"82.219512195122"	"12.2929269519877"	"65998660"	"20.865"	"549087"	""	"52228040"	""
2013	"YR2013"	"French Polynesia"	"PYF"	""	""	"821.408"	""	""	"76.257"	""	"273528"	"38.417"	"4000"	""	"168447"	""
2013	"YR2013"	"Gabon"	"GAB"	""	""	"5280.48"	"58.3038869257951"	"0.524809160305344"	"64.686"	"36.8228092504056"	"1817271"	"12.844"	"267670"	""	"1583861"	""
2013	"YR2013"	"Gambia, The"	"GMB"	""	"95817"	"432.706"	""	""	"60.452"	"62.3219571990068"	"1859324"	"42.18"	"11300"	""	"1075061"	"44.7"
2013	"YR2013"	"Georgia"	"GEO"	""	"915"	"7858.381"	"17.7751267521622"	"0"	"72.832"	"19.2720003810567"	"3776000"	"43.315"	"69700"	""	"2140426"	""
2013	"YR2013"	"Germany"	"DEU"	""	"5263"	"757312.507"	"59.2383224450782"	"20.4390586859838"	"80.490243902439"	"13.6580900013016"	"80645605"	"22.82"	"357340"	""	"62242278"	""
2013	"YR2013"	"Ghana"	"GHA"	""	"541782"	"14620.329"	"36.0111879418849"	"0.0233082122601197"	"61.86"	"27.5406251923145"	"26346251"	"47.252"	"238540"	""	"13897120"	""
2013	"YR2013"	"Gibraltar"	"GIB"	""	""	"491.378"	"100"	"0"	""	""	"33831"	"0"	"10"	""	"33831"	""
2013	"YR2013"	"Greece"	"GRC"	""	"40327"	"69482.316"	"74.7277375074413"	"14.0123262247435"	"81.2853658536585"	"12.0305842755253"	"10965211"	"22.645"	"131960"	""	"8482139"	""
2013	"YR2013"	"Greenland"	"GRL"	""	""	"553.717"	""	""	"71.8304878048781"	"5.17326815308338"	"56483"	"14.449"	"410450"	""	"48322"	""
2013	"YR2013"	"Grenada"	"GRD"	""	"200"	"304.361"	""	""	"73.227"	"14.5443334887087"	"105909"	"64.104"	"340"	""	"38017"	""
2013	"YR2013"	"Guam"	"GUM"	""	""	""	""	""	"78.938"	"8.01758892180333"	"160375"	"5.636"	"540"	""	"151336"	""
2013	"YR2013"	"Guatemala"	"GTM"	""	"237111"	"13633.906"	"32.8326612903226"	"20.2520161290323"	"72.562"	"32.8987619905432"	"15596214"	"50.689"	"108890"	""	"7690649"	""
2013	"YR2013"	"Guinea"	"GIN"	""	"422168"	"2299.209"	""	""	"58.301"	"27.5938937157871"	"11536615"	"65.455"	"245860"	""	"3985324"	""
