Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2 emissions (kt)"	"Non-renewable lectricity production (% of total)"	"Renewable electricity production excluding hydroelectric (% of total)"	"Life expectancy (years)"	"Population"	"Rural population"	"Urban population"	"Surface area (sq. km)"
2013	"YR2013"	"Afghanistan"	"AFG"	""	"10014.577"	""	""	"62.494"	"31731688"	"23997724"	"7733964"	"652860"
2013	"YR2013"	"Albania"	"ALB"	"10957"	"5064.127"	"0"	"0"	"77.702"	"2895092"	"1291587"	"1603505"	"28750"
2013	"YR2013"	"Algeria"	"DZA"	""	"134465.223"	"99.4489898146602"	"0"	"75.418"	"38338562"	"11664124"	"26674438"	"2381740"
2013	"YR2013"	"American Samoa"	"ASM"	""	""	""	""	""	"55307"	"6997"	"48310"	"200"
2013	"YR2013"	"Andorra"	"AND"	""	"476.71"	""	""	""	"80788"	"9261"	"71527"	"470"
2013	"YR2013"	"Angola"	"AGO"	""	"32617.965"	"41.9790652385589"	"0"	"60.373"	"25998340"	"9878849"	"16119491"	"1246700"
2013	"YR2013"	"Antigua and Barbuda"	"ATG"	""	"524.381"	""	""	"75.892"	"97824"	"73026"	"24798"	"440"
2013	"YR2013"	"Argentina"	"ARG"	"27937"	"189851.591"	"64.0004023826803"	"2.11535972619681"	"76.089"	"42539925"	"3722669"	"38817256"	"2780400"
2013	"YR2013"	"Armenia"	"ARM"	""	"5496.833"	"41.1543450064851"	"0.0518806744487678"	"74.044"	"2893509"	"1065853"	"1827656"	"29740"
2013	"YR2013"	"Aruba"	"ABW"	""	"861.745"	""	""	"75.44"	"103187"	"58827"	"44360"	"180"
2013	"YR2013"	"Australia"	"AUS"	"50066"	"372266.506"	"86.7358916116833"	"5.98467276391009"	"82.1487804878049"	"23145901"	"3355693"	"19790208"	"7741220"
2013	"YR2013"	"Austria"	"AUT"	""	"62485.68"	"20.8385646748818"	"12.8923315259489"	"81.1365853658537"	"8479823"	"3617832"	"4861991"	"83879"
2013	"YR2013"	"Azerbaijan"	"AZE"	"31378"	"35643.24"	"93.0418771944849"	"0.295452599126488"	"71.656"	"9416801"	"4318074"	"5098727"	"86600"
2013	"YR2013"	"Bahamas, The"	"BHS"	""	"2801.588"	""	""	"75.23"	"377240"	"65655"	"311585"	"13880"
2013	"YR2013"	"Bahrain"	"BHR"	"6394"	"31312.513"	"100"	"0"	"76.482"	"1315411"	"146866"	"1168545"	"770"
2013	"YR2013"	"Bangladesh"	"BGD"	""	"69709.67"	"98.0534638554217"	"0.26355421686747"	"71.431"	"157571292"	"105947785"	"51623507"	"148460"
