Time	Time Code	Country Name	Country Code	GDP (current US$)
2013	YR2013	Afghanistan	AFG	20264253973.7858
2013	YR2013	Albania	ALB	12776277515.48
2013	YR2013	Algeria	DZA	209755003250.664
2013	YR2013	American Samoa	ASM	641000000
2013	YR2013	Andorra	AND	3281585236.32501
2013	YR2013	Angola	AGO	124912503781.148
2013	YR2013	Antigua and Barbuda	ATG	1192925407.40741
2013	YR2013	Argentina	ARG	552025140252.246
2013	YR2013	Armenia	ARM	11121465767.4067
2013	YR2013	Aruba	ABW	..
2013	YR2013	Australia	AUS	1573696522006.77
2013	YR2013	Austria	AUT	430068712971.867
2013	YR2013	Azerbaijan	AZE	74164435946.4627
2013	YR2013	Bahamas, The	BHS	10627600000
2013	YR2013	Bahrain	BHR	32539547872.3404
2013	YR2013	Bangladesh	BGD	149990451022.29
2013	YR2013	Barbados	BRB	4612500000
2013	YR2013	Belarus	BLR	75527984234.2342
2013	YR2013	Belgium	BEL	520925468952.938
2013	YR2013	Belize	BLZ	1612573850
2013	YR2013	Benin	BEN	9157355679.70205
2013	YR2013	Bermuda	BMU	5573710000
2013	YR2013	Bhutan	BTN	1798333725.83954
2013	YR2013	Bolivia	BOL	30659338929.0883
2013	YR2013	Bosnia and Herzegovina	BIH	18178503835.4491
2013	YR2013	Botswana	BWA	14915780538.6724
2013	YR2013	Brazil	BRA	2472806919901.67
2013	YR2013	British Virgin Islands	VGB	..
2013	YR2013	Brunei Darussalam	BRN	18093829923.2737
2013	YR2013	Bulgaria	BGR	55758754071.6612
2013	YR2013	Burkina Faso	BFA	11947176341.9966
2013	YR2013	Burundi	BDI	2714505634.52629
2013	YR2013	Cabo Verde	CPV	1850951315.39815
2013	YR2013	Cambodia	KHM	15227991395.2201
2013	YR2013	Cameroon	CMR	32348149947.3727
2013	YR2013	Canada	CAN	1842628005830.18
2013	YR2013	Cayman Islands	CYM	..
2013	YR2013	Central African Republic	CAF	1518565298.35641
2013	YR2013	Chad	TCD	12949854262.8127
2013	YR2013	Channel Islands	CHI	..
2013	YR2013	Chile	CHL	278384332694.359
2013	YR2013	China	CHN	9607224481532.65
2013	YR2013	Colombia	COL	380191881860.372
2013	YR2013	Comoros	COM	618663921.86116
2013	YR2013	Congo, Dem. Rep.	COD	32671683662.2385
2013	YR2013	Congo, Rep.	COG	14085851348.069
2013	YR2013	Costa Rica	CRI	49745088111.6953
2013	YR2013	Cote d'Ivoire	CIV	31273049200.243
2013	YR2013	Croatia	HRV	58085856018.5104
2013	YR2013	Cuba	CUB	77148000000
2013	YR2013	Curacao	CUW	..
2013	YR2013	Cyprus	CYP	24084572490.7063
2013	YR2013	Czech Republic	CZE	209402444996.104
2013	YR2013	Denmark	DNK	343584385594.132
2013	YR2013	Djibouti	DJI	1324733711.82922
2013	YR2013	Dominica	DMA	501979259.259259
2013	YR2013	Dominican Republic	DOM	62661773591.7203
2013	YR2013	Ecuador	ECU	95129659000
2013	YR2013	Egypt, Arab Rep.	EGY	288586231501.877
2013	YR2013	El Salvador	SLV	21977401900
2013	YR2013	Equatorial Guinea	GNQ	21942597765.3631
2013	YR2013	Eritrea	ERI	..
2013	YR2013	Estonia	EST	25137153149.4377
2013	YR2013	Eswatini	SWZ	4560713073.91948
2013	YR2013	Ethiopia	ETH	47648211133.2183
2013	YR2013	Faroe Islands	FRO	2613464380.46401
2013	YR2013	Fiji	FJI	4190143206.25611
2013	YR2013	Finland	FIN	269980111642.898
2013	YR2013	France	FRA	2811077725703.59
2013	YR2013	French Polynesia	PYF	..
2013	YR2013	Gabon	GAB	17590680916.525
2013	YR2013	Gambia, The	GMB	898947649.453801
2013	YR2013	Georgia	GEO	16140047012.1438
2013	YR2013	Germany	DEU	3752513503278.41
2013	YR2013	Ghana	GHA	47805069494.9081
2013	YR2013	Gibraltar	GIB	..
2013	YR2013	Greece	GRC	239862011450.103
2013	YR2013	Greenland	GRL	2669515517.33348
2013	YR2013	Grenada	GRD	842620111.111111
2013	YR2013	Guam	GUM	5337000000
